"gene_id"	"n_genes_50kb"	"n_genes_100kb"	"n_genes_200kb"	"n_genes_500kb"	"n_genes_1000kb"
"ENSG00000115183"	1	1	1	4	5
"ENSG00000115194"	4	7	10	29	40
"ENSG00000115204"	4	7	11	28	41
"ENSG00000115207"	3	8	12	27	41
"ENSG00000115211"	5	6	13	26	41
"ENSG00000115216"	3	4	10	25	42
"ENSG00000115221"	1	1	2	3	7
"ENSG00000115226"	3	5	9	24	41
"ENSG00000115232"	1	2	2	3	6
"ENSG00000115233"	1	1	3	4	4
"ENSG00000115234"	5	6	13	25	41
"ENSG00000115239"	2	2	4	6	7
"ENSG00000115241"	4	8	12	24	42
"ENSG00000115252"	1	1	1	2	4
"ENSG00000115263"	2	2	3	7	7
"ENSG00000115267"	1	3	4	6	7
"ENSG00000115271"	1	3	3	5	7
"ENSG00000115274"	6	11	19	22	29
"ENSG00000115275"	7	11	19	22	29
"ENSG00000115282"	7	14	19	21	29
"ENSG00000115289"	8	14	18	21	29
"ENSG00000115290"	1	1	2	2	3
"ENSG00000115295"	1	2	4	5	9
"ENSG00000115297"	8	13	18	21	29
"ENSG00000115306"	1	1	1	3	6
"ENSG00000115307"	8	11	16	21	29
"ENSG00000115310"	1	1	2	6	8
"ENSG00000115317"	7	11	16	21	29
"ENSG00000115318"	6	10	15	21	29
"ENSG00000115325"	5	9	15	21	30
"ENSG00000115339"	1	1	3	4	6
"ENSG00000115350"	1	1	3	3	17
"ENSG00000115353"	1	1	1	3	6
"ENSG00000115355"	1	1	2	7	9
"ENSG00000115361"	1	2	3	6	8
"ENSG00000115363"	1	1	1	3	4
"ENSG00000115364"	2	2	3	3	4
"ENSG00000115365"	2	2	2	4	7
"ENSG00000115368"	1	1	1	4	11
"ENSG00000115380"	1	1	1	2	6
"ENSG00000115386"	1	3	5	5	5
"ENSG00000115392"	1	2	2	2	2
"ENSG00000115414"	1	2	2	2	3
"ENSG00000115415"	1	3	3	3	7
"ENSG00000115419"	1	2	2	4	7
"ENSG00000115421"	1	1	1	5	9
"ENSG00000115423"	1	1	1	5	7
"ENSG00000115425"	2	3	4	5	7
"ENSG00000115446"	4	4	4	6	9
"ENSG00000115457"	2	2	3	6	8
"ENSG00000115459"	3	5	6	14	22
"ENSG00000115461"	2	2	2	6	8
"ENSG00000115464"	1	1	1	5	9
"ENSG00000115468"	1	1	5	13	18
"ENSG00000115474"	2	2	4	11	19
"ENSG00000115484"	3	3	3	3	6
"ENSG00000115486"	3	7	8	17	20
"ENSG00000115488"	3	4	4	7	16
"ENSG00000115504"	1	1	1	2	4
"ENSG00000115507"	2	2	3	3	3
"ENSG00000115514"	3	4	6	13	14
"ENSG00000115520"	2	5	6	10	12
"ENSG00000115523"	2	3	8	12	21
"ENSG00000115524"	1	2	5	8	13
"ENSG00000115525"	1	1	2	7	20
"ENSG00000115526"	1	2	4	5	7
"ENSG00000115539"	1	1	2	5	9
"ENSG00000115540"	3	5	7	11	12
"ENSG00000115541"	4	5	7	11	12
"ENSG00000115548"	1	3	3	5	14
"ENSG00000115556"	2	6	8	14	30
"ENSG00000115561"	3	3	3	8	14
"ENSG00000115568"	5	5	8	14	29
"ENSG00000115590"	1	1	2	5	9
"ENSG00000115592"	2	3	5	18	35
"ENSG00000115593"	1	3	4	5	8
"ENSG00000115594"	1	1	3	7	10
"ENSG00000115596"	2	3	5	17	35
"ENSG00000115598"	1	2	4	6	10
"ENSG00000115602"	2	2	4	6	12
"ENSG00000115604"	2	2	3	6	12
"ENSG00000115607"	1	3	4	6	10
"ENSG00000115616"	1	1	3	5	9
"ENSG00000115641"	1	2	3	6	8
"ENSG00000115648"	1	2	5	7	12
"ENSG00000115649"	5	7	11	21	36
"ENSG00000115652"	1	1	2	3	5
"ENSG00000115657"	5	10	13	21	35
"ENSG00000115661"	5	9	14	19	35
"ENSG00000115665"	1	1	1	3	6
"ENSG00000115677"	1	4	6	10	20
"ENSG00000115685"	3	3	7	10	20
"ENSG00000115687"	2	4	7	12	20
"ENSG00000115694"	2	2	4	10	21
"ENSG00000115705"	1	1	2	3	4
"ENSG00000115718"	2	3	3	8	13
"ENSG00000115738"	1	2	2	3	3
"ENSG00000115750"	1	1	2	6	14
"ENSG00000115756"	1	1	2	5	13
"ENSG00000115758"	2	2	2	4	13
"ENSG00000115760"	1	1	1	4	9
"ENSG00000115761"	1	1	2	6	9
"ENSG00000115762"	2	2	3	7	11
"ENSG00000115806"	1	2	3	6	9
"ENSG00000115808"	1	1	4	6	15
"ENSG00000115816"	4	5	6	9	13
"ENSG00000115825"	1	2	6	9	13
"ENSG00000115827"	2	2	3	6	9
"ENSG00000115828"	1	2	2	7	11
"ENSG00000115839"	2	2	3	5	7
"ENSG00000115840"	1	2	2	7	10
"ENSG00000115841"	1	1	2	2	4
"ENSG00000115844"	3	3	3	5	9
"ENSG00000115850"	1	3	5	5	7
"ENSG00000115866"	1	1	2	6	7
"ENSG00000115875"	3	3	4	9	11
"ENSG00000115884"	1	2	2	6	10
"ENSG00000115896"	1	1	1	1	4
"ENSG00000115902"	1	1	3	4	7
"ENSG00000115904"	1	1	3	7	11
"ENSG00000115919"	1	1	1	2	2
"ENSG00000115935"	1	1	1	6	10
"ENSG00000115942"	1	4	5	9	17
"ENSG00000115944"	1	2	3	4	8
"ENSG00000115946"	3	3	4	6	9
"ENSG00000115947"	1	3	3	3	3
"ENSG00000115956"	1	1	4	7	11
"ENSG00000115963"	1	1	1	1	2
"ENSG00000115966"	1	1	2	3	5
"ENSG00000115970"	1	1	1	2	6
"ENSG00000115977"	1	1	2	4	10
"ENSG00000115993"	2	2	4	9	14
"ENSG00000115998"	2	2	5	8	14
"ENSG00000116001"	2	3	5	7	14
"ENSG00000116005"	4	5	5	7	14
"ENSG00000116016"	1	1	2	6	10
"ENSG00000116030"	3	4	4	6	9
"ENSG00000116031"	2	3	5	10	15
"ENSG00000116035"	3	3	7	12	15
"ENSG00000116039"	3	5	5	13	15
"ENSG00000116044"	1	1	3	4	6
"ENSG00000116062"	1	2	2	5	6
"ENSG00000116095"	2	5	6	6	9
"ENSG00000116096"	1	2	4	5	12
"ENSG00000116106"	1	1	1	1	1
"ENSG00000116117"	1	1	1	1	1
"ENSG00000116120"	1	1	3	4	7
"ENSG00000116127"	1	1	1	6	16
"ENSG00000118004"	1	3	6	8	9
"ENSG00000118231"	3	5	6	9	12
"ENSG00000118242"	2	2	3	4	6
"ENSG00000118245"	2	2	2	4	8
"ENSG00000118246"	2	2	3	5	8
"ENSG00000118257"	1	1	1	2	6
"ENSG00000118260"	2	2	2	4	6
"ENSG00000118263"	1	1	1	2	8
"ENSG00000118640"	4	8	9	16	19
"ENSG00000118960"	1	1	3	4	7
"ENSG00000118961"	1	1	2	3	7
"ENSG00000118965"	1	3	4	4	7
"ENSG00000118997"	1	1	1	3	4
"ENSG00000119004"	1	2	3	4	9
"ENSG00000119013"	2	3	3	10	16
"ENSG00000119041"	3	3	4	6	6
"ENSG00000119042"	1	1	1	1	2
"ENSG00000119147"	2	2	2	3	5
"ENSG00000119185"	3	3	5	6	8
"ENSG00000119203"	2	5	5	6	9
"ENSG00000119729"	3	3	5	7	13
"ENSG00000119737"	4	5	6	7	9
"ENSG00000119760"	4	6	8	18	30
"ENSG00000119771"	2	2	2	3	6
"ENSG00000119772"	1	1	2	4	9
"ENSG00000119777"	3	6	11	19	36
"ENSG00000119778"	1	1	2	9	13
"ENSG00000119782"	6	6	8	11	13
"ENSG00000119787"	1	1	1	3	8
"ENSG00000119801"	1	1	2	3	4
"ENSG00000119812"	1	2	2	3	3
"ENSG00000119820"	1	2	4	5	8
"ENSG00000119844"	1	1	3	3	6
"ENSG00000119862"	1	1	2	3	5
"ENSG00000119865"	1	2	3	8	10
"ENSG00000119866"	1	1	1	1	4
"ENSG00000119878"	2	3	5	9	13
"ENSG00000119888"	1	2	2	6	10
"ENSG00000121152"	1	3	5	11	18
"ENSG00000121964"	1	1	1	2	3
"ENSG00000121966"	1	1	1	3	6
"ENSG00000121988"	1	1	1	3	8
"ENSG00000121989"	1	2	2	3	3
"ENSG00000122085"	3	3	5	11	21
"ENSG00000123485"	2	2	12	13	16
"ENSG00000123600"	1	1	2	4	8
"ENSG00000123607"	1	1	2	4	6
"ENSG00000123609"	2	2	3	6	6
"ENSG00000123610"	1	2	3	5	8
"ENSG00000123612"	1	1	2	3	6
"ENSG00000123636"	1	1	1	4	8
"ENSG00000123977"	1	1	3	4	6
"ENSG00000123983"	1	1	1	4	5
"ENSG00000123989"	4	7	9	13	27
"ENSG00000123992"	1	3	6	25	31
"ENSG00000123999"	3	6	9	12	25
"ENSG00000124003"	1	2	2	4	7
"ENSG00000124006"	5	6	9	12	25
"ENSG00000124019"	1	1	2	2	6
"ENSG00000124356"	1	3	5	9	15
"ENSG00000124357"	1	2	6	11	15
"ENSG00000124370"	2	3	4	10	15
"ENSG00000124374"	1	1	4	10	15
"ENSG00000124380"	4	4	6	8	14
"ENSG00000124383"	2	3	4	10	15
"ENSG00000124831"	1	1	2	8	16
"ENSG00000124839"	3	5	5	8	13
"ENSG00000125538"	1	2	5	12	19
"ENSG00000125551"	2	2	2	2	6
"ENSG00000125571"	1	1	4	12	18
"ENSG00000125611"	2	3	4	10	19
"ENSG00000125618"	1	2	2	9	17
"ENSG00000125629"	1	1	2	2	3
"ENSG00000125630"	3	3	4	9	18
"ENSG00000125633"	1	1	1	3	3
"ENSG00000125637"	1	3	3	8	17
"ENSG00000127824"	4	8	13	20	34
"ENSG00000127831"	2	4	6	16	25
"ENSG00000127837"	5	5	6	13	21
"ENSG00000127838"	2	5	8	13	22
"ENSG00000128641"	1	1	1	2	6
"ENSG00000128645"	2	3	10	12	12
"ENSG00000128652"	3	7	10	12	12
"ENSG00000128654"	1	1	1	11	12
"ENSG00000128655"	1	1	1	3	7
"ENSG00000128656"	1	1	1	4	7
"ENSG00000128683"	1	2	3	7	8
"ENSG00000128694"	4	5	6	8	11
"ENSG00000128699"	5	5	5	8	11
"ENSG00000128708"	2	2	3	7	10
"ENSG00000128709"	6	9	10	12	12
"ENSG00000128710"	7	9	10	12	12
"ENSG00000128713"	7	9	10	12	12
"ENSG00000128714"	5	8	11	12	12
"ENSG00000130147"	1	1	1	1	2
"ENSG00000130294"	1	1	4	13	21
"ENSG00000130414"	1	1	4	8	11
"ENSG00000130508"	1	1	1	3	4
"ENSG00000130561"	1	3	3	5	19
"ENSG00000132031"	2	3	3	6	7
"ENSG00000132300"	3	3	5	6	14
"ENSG00000132305"	1	4	5	5	12
"ENSG00000132313"	3	3	4	6	11
"ENSG00000132321"	1	1	1	4	5
"ENSG00000132323"	2	4	9	12	15
"ENSG00000132326"	2	4	7	12	15
"ENSG00000132329"	1	2	4	6	20
"ENSG00000132330"	2	3	6	13	17
"ENSG00000134308"	1	1	2	7	11
"ENSG00000134313"	1	1	3	3	4
"ENSG00000134317"	1	2	4	7	12
"ENSG00000134318"	1	1	2	5	12
"ENSG00000134321"	2	3	3	3	3
"ENSG00000134323"	1	1	1	2	4
"ENSG00000134324"	1	1	2	3	6
"ENSG00000134326"	2	2	3	3	3
"ENSG00000134330"	3	3	6	6	9
"ENSG00000135617"	5	5	7	9	14
"ENSG00000135622"	2	2	2	20	27
"ENSG00000135624"	4	6	7	9	14
"ENSG00000135625"	2	3	7	9	16
"ENSG00000135631"	1	2	4	10	12
"ENSG00000135632"	4	5	7	9	13
"ENSG00000135636"	1	1	1	2	6
"ENSG00000135637"	7	12	19	21	29
"ENSG00000135638"	2	3	4	5	12
"ENSG00000135898"	1	1	3	7	10
"ENSG00000135899"	2	2	2	6	8
"ENSG00000135900"	3	3	3	4	6
"ENSG00000135902"	5	6	8	13	16
"ENSG00000135903"	1	2	2	3	5
"ENSG00000135905"	1	1	1	1	3
"ENSG00000135912"	1	3	8	14	34
"ENSG00000135913"	1	1	4	16	28
"ENSG00000135914"	2	2	5	7	13
"ENSG00000135916"	1	2	3	7	10
"ENSG00000135917"	1	1	2	5	9
"ENSG00000135919"	1	2	3	4	7
"ENSG00000135924"	3	7	12	21	34
"ENSG00000135925"	2	2	6	16	35
"ENSG00000135926"	4	5	7	13	22
"ENSG00000135929"	2	3	6	16	35
"ENSG00000135930"	3	6	7	13	18
"ENSG00000135931"	1	1	1	8	17
"ENSG00000135932"	1	1	2	5	11
"ENSG00000135940"	2	2	3	4	6
"ENSG00000135945"	1	2	2	9	13
"ENSG00000135951"	1	1	6	11	18
"ENSG00000135953"	3	3	3	4	8
"ENSG00000135956"	3	4	6	10	14
"ENSG00000135960"	1	1	2	4	6
"ENSG00000135966"	1	4	6	7	9
"ENSG00000135968"	1	1	3	6	9
"ENSG00000135972"	1	1	1	6	8
"ENSG00000135973"	4	4	5	7	8
"ENSG00000135974"	3	3	6	7	9
"ENSG00000135976"	1	1	2	3	12
"ENSG00000135999"	1	1	1	3	4
"ENSG00000136002"	1	1	1	5	13
"ENSG00000136531"	1	1	1	3	6
"ENSG00000136535"	3	3	3	4	4
"ENSG00000136536"	1	4	4	6	8
"ENSG00000136541"	2	2	3	4	5
"ENSG00000136542"	1	2	2	4	5
"ENSG00000136546"	1	1	2	2	5
"ENSG00000136560"	1	1	1	4	4
"ENSG00000136682"	2	3	3	6	14
"ENSG00000136688"	1	3	6	13	19
"ENSG00000136689"	1	3	6	9	17
"ENSG00000136694"	3	3	6	12	20
"ENSG00000136695"	3	4	7	10	19
"ENSG00000136696"	2	4	6	10	20
"ENSG00000136697"	3	4	7	10	19
"ENSG00000136698"	3	4	6	11	18
"ENSG00000136699"	4	5	5	9	15
"ENSG00000136709"	1	1	4	9	14
"ENSG00000136710"	3	3	3	12	18
"ENSG00000136715"	1	1	2	5	11
"ENSG00000136717"	1	1	1	5	9
"ENSG00000136718"	3	3	3	13	18
"ENSG00000136720"	1	1	2	3	6
"ENSG00000136731"	1	1	2	3	9
"ENSG00000136732"	1	1	1	2	3
"ENSG00000138002"	4	5	10	25	41
"ENSG00000138018"	2	3	4	10	17
"ENSG00000138028"	5	9	12	21	37
"ENSG00000138029"	2	4	5	9	16
"ENSG00000138030"	5	8	11	21	37
"ENSG00000138031"	1	2	5	6	8
"ENSG00000138032"	1	1	2	5	9
"ENSG00000138035"	1	2	2	5	8
"ENSG00000138036"	3	4	5	6	8
"ENSG00000138039"	3	3	4	5	7
"ENSG00000138041"	1	2	3	4	9
"ENSG00000138050"	1	2	2	2	4
"ENSG00000138061"	2	2	2	3	5
"ENSG00000138068"	3	5	8	10	13
"ENSG00000138069"	2	2	3	5	6
"ENSG00000138071"	1	1	2	5	6
"ENSG00000138073"	5	7	13	25	39
"ENSG00000138074"	3	4	11	27	41
"ENSG00000138075"	3	3	5	6	9
"ENSG00000138078"	3	3	4	4	6
"ENSG00000138079"	2	2	4	4	8
"ENSG00000138080"	5	8	11	21	36
"ENSG00000138081"	1	2	2	2	7
"ENSG00000138083"	1	1	2	3	4
"ENSG00000138085"	3	4	13	27	41
"ENSG00000138092"	3	4	4	6	9
"ENSG00000138095"	1	1	2	6	10
"ENSG00000138100"	5	6	13	28	42
"ENSG00000138101"	1	1	1	3	6
"ENSG00000138356"	1	2	2	7	12
"ENSG00000138363"	1	2	2	3	3
"ENSG00000138375"	1	1	3	6	11
"ENSG00000138376"	1	1	1	3	4
"ENSG00000138378"	1	1	2	4	5
"ENSG00000138379"	2	2	2	4	13
"ENSG00000138380"	2	2	4	5	9
"ENSG00000138381"	2	2	4	9	11
"ENSG00000138382"	3	4	4	8	13
"ENSG00000138385"	2	4	4	8	13
"ENSG00000138386"	1	1	1	4	9
"ENSG00000138395"	1	1	2	7	13
"ENSG00000138398"	1	3	8	11	12
"ENSG00000138399"	1	5	6	10	13
"ENSG00000138400"	2	3	3	5	8
"ENSG00000138411"	1	1	1	3	7
"ENSG00000138413"	2	2	4	9	11
"ENSG00000138430"	1	1	1	6	8
"ENSG00000138433"	2	4	5	7	10
"ENSG00000138434"	1	2	2	5	6
"ENSG00000138435"	1	2	3	3	10
"ENSG00000138439"	1	1	2	5	9
"ENSG00000138442"	2	2	4	5	9
"ENSG00000138443"	2	2	3	4	8
"ENSG00000138448"	1	1	2	6	6
"ENSG00000138449"	1	1	3	8	11
"ENSG00000142327"	4	5	5	11	19
"ENSG00000142330"	3	5	8	11	19
"ENSG00000143727"	3	3	3	4	NA
"ENSG00000143797"	1	1	2	3	6
"ENSG00000143867"	1	1	1	1	1
"ENSG00000143869"	3	3	3	4	8
"ENSG00000143870"	1	3	3	5	10
"ENSG00000143878"	1	1	2	6	9
"ENSG00000143882"	1	2	4	5	10
"ENSG00000143889"	1	1	2	6	11
"ENSG00000143891"	1	3	5	7	11
"ENSG00000143919"	1	1	1	3	6
"ENSG00000143921"	2	4	5	5	9
"ENSG00000143924"	1	1	2	5	6
"ENSG00000143933"	2	2	3	6	11
"ENSG00000143942"	4	4	6	7	8
"ENSG00000143947"	3	3	4	5	9
"ENSG00000143951"	1	1	1	2	6
"ENSG00000143952"	1	1	2	4	6
"ENSG00000143954"	1	1	3	5	5
"ENSG00000143970"	1	1	1	5	9
"ENSG00000143971"	1	1	1	1	1
"ENSG00000143977"	3	5	5	7	15
"ENSG00000143994"	5	7	13	24	38
"ENSG00000143995"	1	1	1	1	1
"ENSG00000144015"	1	1	1	3	9
"ENSG00000144021"	3	3	6	10	15
"ENSG00000144026"	3	3	3	7	9
"ENSG00000144028"	3	5	6	10	15
"ENSG00000144029"	1	3	4	7	9
"ENSG00000144031"	4	5	6	13	16
"ENSG00000144034"	1	2	5	8	18
"ENSG00000144035"	1	2	3	6	18
"ENSG00000144036"	1	1	1	1	5
"ENSG00000144040"	1	1	3	10	12
"ENSG00000144043"	3	4	6	13	16
"ENSG00000144045"	7	12	17	21	29
"ENSG00000144048"	2	3	4	9	17
"ENSG00000144057"	1	1	1	1	3
"ENSG00000144061"	1	2	2	4	8
"ENSG00000144063"	2	2	2	4	9
"ENSG00000144115"	1	1	3	5	8
"ENSG00000144118"	1	2	4	5	7
"ENSG00000144119"	1	1	2	5	9
"ENSG00000144120"	2	2	3	5	9
"ENSG00000144130"	2	3	5	10	20
"ENSG00000144134"	1	1	2	5	8
"ENSG00000144136"	1	1	5	9	19
"ENSG00000144152"	1	3	3	6	11
"ENSG00000144161"	1	3	3	7	12
"ENSG00000144182"	7	7	8	13	15
"ENSG00000144191"	2	2	4	7	9
"ENSG00000144199"	2	2	3	6	10
"ENSG00000144214"	3	5	7	12	14
"ENSG00000144218"	1	1	1	1	4
"ENSG00000144224"	2	3	4	6	7
"ENSG00000144227"	1	1	1	2	2
"ENSG00000144228"	1	1	1	2	2
"ENSG00000144229"	1	1	1	1	1
"ENSG00000144230"	3	3	5	9	14
"ENSG00000144231"	2	3	4	9	13
"ENSG00000144233"	2	2	4	9	13
"ENSG00000144278"	1	1	1	1	1
"ENSG00000144283"	1	1	1	3	5
"ENSG00000144285"	1	1	1	3	6
"ENSG00000144290"	1	1	1	1	7
"ENSG00000144306"	3	3	5	7	10
"ENSG00000144320"	1	1	1	11	12
"ENSG00000144331"	1	1	1	1	3
"ENSG00000144339"	1	1	1	2	3
"ENSG00000144354"	1	1	2	2	3
"ENSG00000144355"	3	3	4	5	9
"ENSG00000144357"	1	1	1	5	12
"ENSG00000144362"	3	3	5	11	13
"ENSG00000144366"	1	1	1	1	2
"ENSG00000144369"	1	2	3	6	6
"ENSG00000144381"	4	5	7	11	12
"ENSG00000144395"	1	1	2	5	6
"ENSG00000144401"	2	2	2	5	6
"ENSG00000144406"	1	1	1	4	6
"ENSG00000144407"	1	1	1	2	8
"ENSG00000144410"	1	1	1	5	6
"ENSG00000144426"	1	1	1	6	8
"ENSG00000144445"	1	1	4	5	8
"ENSG00000144451"	1	1	1	1	1
"ENSG00000144452"	1	1	1	2	5
"ENSG00000144460"	1	1	1	1	2
"ENSG00000144468"	1	1	2	4	6
"ENSG00000144476"	1	1	2	2	5
"ENSG00000144481"	1	1	2	13	15
"ENSG00000144485"	3	5	8	12	15
"ENSG00000144488"	3	4	6	12	15
"ENSG00000144504"	1	3	7	11	22
"ENSG00000144524"	2	2	4	7	12
"ENSG00000144535"	1	1	1	3	16
"ENSG00000144567"	5	8	12	21	36
"ENSG00000144579"	3	5	6	14	25
"ENSG00000144580"	3	3	7	15	31
"ENSG00000144583"	1	1	2	6	9
"ENSG00000144589"	2	4	7	11	25
"ENSG00000144591"	3	6	9	15	27
"ENSG00000146205"	4	4	5	10	19
"ENSG00000150540"	1	1	1	1	2
"ENSG00000150551"	3	3	3	3	5
"ENSG00000150556"	1	1	2	3	5
"ENSG00000150722"	1	1	2	3	5
"ENSG00000150873"	2	3	3	4	11
"ENSG00000150938"	1	1	3	4	6
"ENSG00000151353"	1	1	1	1	5
"ENSG00000151360"	2	3	4	8	9
"ENSG00000151379"	2	3	4	5	6
"ENSG00000151665"	3	3	5	9	13
"ENSG00000151687"	1	3	6	9	11
"ENSG00000151689"	2	2	3	5	8
"ENSG00000151690"	1	2	3	5	8
"ENSG00000151692"	1	1	2	3	3
"ENSG00000151693"	1	1	2	5	8
"ENSG00000151694"	1	3	5	6	8
"ENSG00000151779"	1	1	1	2	3
"ENSG00000152049"	1	1	1	2	5
"ENSG00000152056"	1	1	2	5	5
"ENSG00000152076"	3	5	5	9	15
"ENSG00000152082"	3	4	5	9	15
"ENSG00000152086"	3	4	5	9	15
"ENSG00000152093"	3	4	6	11	17
"ENSG00000152102"	2	3	3	5	13
"ENSG00000152127"	1	1	1	2	2
"ENSG00000152128"	1	1	1	2	6
"ENSG00000152133"	3	3	4	9	13
"ENSG00000152147"	2	4	4	9	12
"ENSG00000152154"	1	2	2	2	5
"ENSG00000152253"	2	4	5	6	7
"ENSG00000152254"	3	4	4	7	7
"ENSG00000152256"	1	1	2	3	5
"ENSG00000152284"	1	1	2	7	21
"ENSG00000152291"	3	4	6	9	21
"ENSG00000152292"	2	3	5	15	19
"ENSG00000152430"	2	4	5	8	12
"ENSG00000152518"	2	2	2	2	6
"ENSG00000152527"	1	1	2	6	8
"ENSG00000152672"	3	4	5	10	15
"ENSG00000152683"	1	3	4	7	8
"ENSG00000152689"	1	1	2	3	3
"ENSG00000153086"	1	2	3	5	7
"ENSG00000153093"	1	1	1	3	6
"ENSG00000153094"	1	2	2	2	3
"ENSG00000153107"	1	1	2	3	6
"ENSG00000153165"	1	2	2	3	5
"ENSG00000153201"	1	2	3	5	9
"ENSG00000153208"	1	1	3	5	7
"ENSG00000153214"	1	1	3	6	10
"ENSG00000153234"	1	1	1	3	3
"ENSG00000153237"	1	1	1	3	5
"ENSG00000153246"	1	1	3	6	8
"ENSG00000153250"	1	1	1	2	5
"ENSG00000153253"	1	1	2	3	5
"ENSG00000153561"	1	4	5	8	11
"ENSG00000153563"	3	3	6	9	11
"ENSG00000153574"	1	1	2	3	3
"ENSG00000153820"	1	1	1	2	5
"ENSG00000153823"	1	1	1	1	2
"ENSG00000153827"	1	1	2	4	7
"ENSG00000153832"	1	2	3	5	8
"ENSG00000154252"	3	3	6	11	NA
"ENSG00000154479"	3	4	5	11	12
"ENSG00000154518"	2	2	2	3	5
"ENSG00000155052"	1	1	1	1	1
"ENSG00000155066"	2	2	3	7	9
"ENSG00000155368"	2	2	4	7	10
"ENSG00000155438"	2	2	3	3	4
"ENSG00000155636"	2	2	3	3	8
"ENSG00000155657"	1	1	1	6	8
"ENSG00000155729"	3	3	4	4	11
"ENSG00000155744"	1	2	4	10	16
"ENSG00000155749"	1	2	5	8	18
"ENSG00000155754"	1	1	4	8	14
"ENSG00000155755"	3	3	4	7	13
"ENSG00000155760"	1	2	2	6	11
"ENSG00000156966"	2	2	4	7	15
"ENSG00000156973"	2	3	4	8	12
"ENSG00000157827"	1	1	1	3	5
"ENSG00000157833"	2	3	4	9	13
"ENSG00000157851"	1	1	3	15	32
"ENSG00000157856"	1	3	4	9	16
"ENSG00000157884"	1	2	4	9	21
"ENSG00000157985"	1	2	2	2	4
"ENSG00000157992"	3	5	11	25	42
"ENSG00000158019"	1	1	1	3	12
"ENSG00000158050"	2	4	4	11	13
"ENSG00000158089"	1	1	1	4	6
"ENSG00000158125"	1	1	1	4	6
"ENSG00000158158"	1	4	7	9	14
"ENSG00000158411"	7	7	8	13	15
"ENSG00000158417"	1	4	5	13	14
"ENSG00000158428"	3	4	9	14	24
"ENSG00000158435"	3	3	4	6	8
"ENSG00000158552"	5	11	13	22	36
"ENSG00000159239"	3	7	14	24	30
"ENSG00000159374"	1	3	10	21	30
"ENSG00000159399"	1	1	2	5	23
"ENSG00000162804"	2	2	4	11	22
"ENSG00000162869"	1	1	4	6	7
"ENSG00000162878"	1	1	2	3	6
"ENSG00000162881"	3	3	3	3	8
"ENSG00000162882"	3	3	3	3	8
"ENSG00000162924"	1	2	2	6	9
"ENSG00000162927"	1	3	4	8	10
"ENSG00000162928"	2	3	3	8	10
"ENSG00000162929"	1	2	6	7	9
"ENSG00000162944"	1	1	5	11	12
"ENSG00000162949"	1	1	1	3	6
"ENSG00000162951"	2	2	2	2	2
"ENSG00000162959"	2	2	2	4	7
"ENSG00000162961"	2	2	2	4	7
"ENSG00000162971"	3	3	4	4	6
"ENSG00000162972"	1	3	3	4	5
"ENSG00000162975"	1	1	3	7	10
"ENSG00000162976"	3	3	3	3	12
"ENSG00000162980"	2	2	3	3	6
"ENSG00000162981"	2	2	2	2	2
"ENSG00000162989"	1	1	1	1	2
"ENSG00000162992"	2	2	2	4	6
"ENSG00000162994"	1	3	5	6	9
"ENSG00000162998"	1	1	3	4	6
"ENSG00000162999"	1	2	3	4	5
"ENSG00000163001"	2	2	2	4	9
"ENSG00000163002"	1	2	2	3	5
"ENSG00000163006"	1	1	3	4	7
"ENSG00000163009"	1	2	4	8	10
"ENSG00000163012"	1	1	2	3	6
"ENSG00000163013"	3	5	6	9	15
"ENSG00000163017"	2	3	5	10	16
"ENSG00000163026"	3	7	8	11	13
"ENSG00000163029"	2	2	4	6	6
"ENSG00000163032"	1	1	3	5	6
"ENSG00000163040"	1	3	3	6	10
"ENSG00000163046"	1	1	1	2	6
"ENSG00000163053"	1	2	2	5	8
"ENSG00000163060"	1	1	1	3	7
"ENSG00000163064"	1	1	2	2	5
"ENSG00000163067"	2	3	4	7	9
"ENSG00000163072"	2	2	5	6	7
"ENSG00000163075"	1	1	3	7	10
"ENSG00000163081"	2	2	2	3	5
"ENSG00000163082"	1	1	2	5	6
"ENSG00000163083"	1	1	2	5	7
"ENSG00000163092"	1	1	1	1	1
"ENSG00000163093"	3	4	5	9	14
"ENSG00000163126"	4	6	6	9	12
"ENSG00000163161"	2	2	3	6	12
"ENSG00000163162"	2	3	4	5	8
"ENSG00000163166"	1	1	4	9	14
"ENSG00000163170"	3	5	7	10	33
"ENSG00000163171"	1	1	1	2	9
"ENSG00000163214"	1	2	6	9	12
"ENSG00000163217"	1	2	3	7	10
"ENSG00000163219"	1	1	2	6	11
"ENSG00000163235"	1	1	1	5	16
"ENSG00000163249"	1	2	3	5	11
"ENSG00000163251"	2	2	3	5	11
"ENSG00000163254"	3	5	5	9	11
"ENSG00000163273"	1	2	2	6	12
"ENSG00000163283"	1	3	5	11	16
"ENSG00000163286"	1	3	5	11	16
"ENSG00000163295"	2	3	9	12	15
"ENSG00000163328"	1	2	4	7	10
"ENSG00000163331"	1	1	1	3	6
"ENSG00000163359"	1	1	2	7	11
"ENSG00000163449"	3	3	4	5	7
"ENSG00000163464"	1	2	6	12	20
"ENSG00000163466"	2	5	7	14	22
"ENSG00000163481"	4	6	8	13	28
"ENSG00000163482"	4	5	8	13	30
"ENSG00000163492"	1	1	1	3	7
"ENSG00000163497"	4	4	8	18	34
"ENSG00000163499"	3	4	8	19	34
"ENSG00000163501"	4	4	7	22	39
